股票代码,名称,最新价,涨跌幅,成交额,candidate_reasons,candidate_score
603083,剑桥科技,234.43,7.051,7387430360.0,WINDVANE|TOP_AMOUNT|TOP_GAIN,10
300308,中际旭创,890.1,-2.068,15491122257.0,WINDVANE|TOP_AMOUNT,8
300394,天孚通信,269.0,4.251,13799920488.0,WINDVANE|TOP_AMOUNT,8
002384,东山精密,193.74,-1.183,10905979359.0,WINDVANE|TOP_AMOUNT,8
688825,长鑫科技,57.2,0.58,9348854964.0,WINDVANE|TOP_AMOUNT,8
300502,新易盛,410.9,-0.94,9041258594.0,WINDVANE|TOP_AMOUNT,8
600183,生益科技,146.96,-0.81,8625341225.0,WINDVANE|TOP_AMOUNT,8
603986,兆易创新,380.64,-0.322,8242535193.0,WINDVANE|TOP_AMOUNT,8
002636,金安国纪,76.45,10.0,4791046362.0,CORE_POOL|TOP_GAIN,6
600737,中粮糖业,17.82,-10.0,3681396245.0,CORE_POOL|TOP_LOSS,6
600108,亚盛集团,5.25,-8.056,3413491379.0,CORE_POOL|TOP_LOSS,6
600722,金牛化工,18.31,-8.45,2875169998.0,CORE_POOL|TOP_LOSS,6
000823,超声电子,18.7,10.0,2769778931.0,CORE_POOL|TOP_GAIN,6
301526,国际复材,29.42,6.788,6096799111.0,TOP_AMOUNT|TOP_GAIN,5
001309,德明利,418.22,2.09,5180466333.0,WINDVANE,5
002463,沪电股份,127.92,0.29,4554301574.0,WINDVANE,5
300476,胜宏科技,229.95,-1.525,4087800254.0,WINDVANE,5
300570,太辰光,203.27,0.853,3917435771.0,WINDVANE,5
603228,景旺电子,110.01,0.383,3136256987.0,WINDVANE,5
300684,中石科技,,,,WINDVANE,5
600127,金健米业,14.0,-2.303,2941858805.0,CORE_POOL,4
000523,红棉股份,4.46,2.294,2540839538.0,CORE_POOL,4
600869,远东股份,24.1,-3.329,10166276199.0,TOP_AMOUNT,3
300750,宁德时代,338.06,0.362,9828547427.0,TOP_AMOUNT,3
600487,亨通光电,63.91,-4.068,9447321897.0,TOP_AMOUNT,3
000988,华工科技,105.8,-2.748,8892342096.0,TOP_AMOUNT,3
600176,中国巨石,43.46,1.851,8564498376.0,TOP_AMOUNT,3
600150,中国船舶,40.82,3.263,7144558405.0,TOP_AMOUNT,3
000021,深科技,36.5,4.316,4174930342.0,TOP_GAIN,2
603618,杭电股份,39.3,-5.483,4151566808.0,TOP_LOSS,2
600396,华电辽能,15.51,5.153,4141490573.0,TOP_GAIN,2
600172,黄河旋风,15.36,-9.273,3785729438.0,TOP_LOSS,2
600667,太极实业,19.98,10.022,3743778504.0,TOP_GAIN,2
688795,摩尔线程,364.05,-5.967,3254402494.0,TOP_LOSS,2
600664,哈药股份,7.13,-6.553,2906055503.0,TOP_LOSS,2
300806,斯迪克,53.59,8.702,2691348689.0,TOP_GAIN,2
300607,拓斯达,35.09,-8.093,2577357286.0,TOP_LOSS,2
