指数,代码,时间,开盘,最高,最低,收盘,成交量,成交额
上证指数,sh000001,2026-09-16 09:35:00,3861.746,3863.146,3850.115,3852.927,4557239300,74693779456.0000
上证指数,sh000001,2026-09-16 09:40:00,3852.627,3861.420,3852.097,3855.775,2674124500,45280878592.0000
上证指数,sh000001,2026-09-16 09:45:00,3855.529,3859.473,3851.075,3851.241,2012846200,33582350336.0000
上证指数,sh000001,2026-09-16 09:50:00,3851.305,3857.090,3850.410,3856.326,1734419600,29761503232.0000
上证指数,sh000001,2026-09-16 09:55:00,3856.076,3856.747,3853.006,3853.825,1513507200,27219230720.0000
上证指数,sh000001,2026-09-16 10:00:00,3853.684,3853.851,3843.834,3844.152,1568190700,25544409088.0000
上证指数,sh000001,2026-09-16 10:05:00,3844.164,3854.864,3842.721,3853.542,1635221500,28459581440.0000
上证指数,sh000001,2026-09-16 10:10:00,3853.327,3858.469,3852.042,3857.784,1280383600,28649914368.0000
上证指数,sh000001,2026-09-16 10:15:00,3857.636,3860.208,3854.024,3855.117,1100807900,22586851328.0000
上证指数,sh000001,2026-09-16 10:20:00,3854.700,3855.695,3852.765,3853.736,883651700,17761796096.0000
上证指数,sh000001,2026-09-16 10:25:00,3853.816,3853.816,3850.328,3851.455,877569200,15727296512.0000
上证指数,sh000001,2026-09-16 10:30:00,3851.593,3853.891,3850.496,3853.559,833444400,16879681536.0000
上证指数,sh000001,2026-09-16 10:35:00,3854.010,3860.997,3852.166,3860.892,1111780300,22155395072.0000
上证指数,sh000001,2026-09-16 10:40:00,3861.244,3863.948,3858.764,3858.764,1020823400,21156102144.0000
上证指数,sh000001,2026-09-16 10:45:00,3858.687,3861.252,3857.885,3859.940,693880700,14249590784.0000
上证指数,sh000001,2026-09-16 10:50:00,3860.234,3862.955,3859.649,3862.855,695486200,14203584512.0000
上证指数,sh000001,2026-09-16 10:55:00,3862.936,3868.121,3861.270,3862.356,771752300,15822454784.0000
上证指数,sh000001,2026-09-16 11:00:00,3862.326,3863.781,3860.509,3861.887,523493300,11134926848.0000
