股票代码,名称,时间,开盘,最高,最低,收盘,成交量,成交额
300308,中际旭创,2026-09-02 09:35:00,840.010,848.000,833.500,836.920,2693007,2258052760.5862
300308,中际旭创,2026-09-02 09:40:00,837.160,846.000,835.110,842.950,877008,737469069.0934
300308,中际旭创,2026-09-02 09:45:00,842.020,843.630,836.060,836.740,732801,615351596.5128
300308,中际旭创,2026-09-02 09:50:00,836.320,840.000,834.220,835.000,985024,823625153.4615
300308,中际旭创,2026-09-02 09:55:00,835.040,840.040,833.200,836.600,893007,747004190.3077
300308,中际旭创,2026-09-02 10:00:00,836.800,838.330,831.000,831.030,1048500,873959658.0469
300308,中际旭创,2026-09-02 10:05:00,831.020,832.000,824.210,824.490,1641400,1359962934.1060
300308,中际旭创,2026-09-02 10:10:00,824.200,825.000,817.330,821.000,1823839,1497678845.1431
300308,中际旭创,2026-09-02 10:15:00,821.000,822.040,815.010,819.870,1377992,1127465991.0625
300308,中际旭创,2026-09-02 10:20:00,819.230,824.870,818.170,819.730,755264,620057816.4487
300308,中际旭创,2026-09-02 10:25:00,819.640,822.000,816.710,821.530,599850,491218742.5469
300308,中际旭创,2026-09-02 10:30:00,821.580,823.000,817.580,818.000,424361,348035780.1172
300308,中际旭创,2026-09-02 10:35:00,818.000,819.070,816.300,818.000,421015,344098194.4063
300308,中际旭创,2026-09-02 10:40:00,817.520,820.000,816.130,817.060,350600,286615984.5137
300308,中际旭创,2026-09-02 10:45:00,817.090,822.000,816.960,820.180,377201,309192406.0356
300308,中际旭创,2026-09-02 10:50:00,820.180,820.180,818.010,819.050,355295,291020547.9570
300308,中际旭创,2026-09-02 10:55:00,819.800,819.800,815.500,816.350,491605,401489800.5103
300308,中际旭创,2026-09-02 11:00:00,816.330,817.900,815.010,815.090,413600,337427686.1875
300308,中际旭创,2026-09-02 11:05:00,815.110,816.000,814.060,815.870,590136,480977507.7246
300308,中际旭创,2026-09-02 11:10:00,815.870,819.180,815.870,819.010,221100,180776616.0801
300308,中际旭创,2026-09-02 11:15:00,819.010,819.990,817.000,819.180,178100,145735707.0781
300308,中际旭创,2026-09-02 11:20:00,819.180,826.660,818.910,826.500,429157,352989215.0293
300308,中际旭创,2026-09-02 11:25:00,826.660,826.880,823.410,824.110,246600,203464927.0938
300308,中际旭创,2026-09-02 11:30:00,824.500,826.100,823.000,823.040,229200,189101034.0469
300308,中际旭创,2026-09-02 13:05:00,823.000,823.000,819.470,820.990,410200,336740505.9453
300308,中际旭创,2026-09-02 13:10:00,820.950,821.000,818.020,818.880,333600,273337251.1346
300308,中际旭创,2026-09-02 13:15:00,818.880,826.380,818.200,825.970,379217,311760298.7539
300308,中际旭创,2026-09-02 13:20:00,826.400,830.500,825.520,826.130,447715,370881737.6738
300308,中际旭创,2026-09-02 13:25:00,826.110,828.090,824.320,827.020,203100,167735818.0146
300308,中际旭创,2026-09-02 13:30:00,827.470,831.510,825.550,831.410,264935,219586986.6328
300308,中际旭创,2026-09-02 13:35:00,831.410,836.000,829.320,829.990,530800,442135699.0000
300308,中际旭创,2026-09-02 13:40:00,829.980,832.760,827.660,828.090,224200,186081965.3623
300308,中际旭创,2026-09-02 13:45:00,828.500,832.060,827.660,830.000,232994,193430216.4565
300308,中际旭创,2026-09-02 13:50:00,830.050,835.080,828.940,833.700,423383,352570837.2266
300308,中际旭创,2026-09-02 13:55:00,833.700,833.700,828.950,829.450,252600,210075826.0938
300308,中际旭创,2026-09-02 14:00:00,829.790,832.500,829.550,832.000,239400,198970953.0625
300308,中际旭创,2026-09-02 14:05:00,832.370,833.500,830.250,830.510,302822,252007940.1699
300308,中际旭创,2026-09-02 14:10:00,830.500,833.010,830.000,830.370,285800,237607376.0156
300308,中际旭创,2026-09-02 14:15:00,830.370,830.790,828.810,828.850,292700,242855532.1836
300308,中际旭创,2026-09-02 14:20:00,828.820,828.820,823.000,824.940,332124,274426231.2266
300308,中际旭创,2026-09-02 14:25:00,824.500,827.990,824.500,825.100,255000,210625154.9688
300308,中际旭创,2026-09-02 14:30:00,825.140,827.000,825.000,825.380,280100,231358057.9551
300308,中际旭创,2026-09-02 14:35:00,825.460,827.000,823.750,827.000,317375,261980352.3770
300308,中际旭创,2026-09-02 14:40:00,827.000,827.990,824.080,824.280,291127,240211294.5117
300308,中际旭创,2026-09-02 14:45:00,824.250,825.250,823.000,824.030,430200,354581593.9609
300308,中际旭创,2026-09-02 14:50:00,824.130,824.870,823.500,823.500,411268,338926141.6055
300308,中际旭创,2026-09-02 14:55:00,823.800,823.900,821.010,822.000,788809,648628330.4063
300308,中际旭创,2026-09-02 15:00:00,821.990,822.600,821.000,822.400,584799,480887445.5801
300502,新易盛,2026-09-02 09:35:00,393.000,395.000,386.720,388.290,3794370,1477764059.7643
300502,新易盛,2026-09-02 09:40:00,388.000,392.880,387.540,389.730,1653422,644906279.8479
300502,新易盛,2026-09-02 09:45:00,389.730,391.460,388.000,388.010,1390420,541326066.5864
300502,新易盛,2026-09-02 09:50:00,388.010,390.540,387.510,388.150,1141238,443536935.4426
300502,新易盛,2026-09-02 09:55:00,388.220,391.000,387.540,388.880,941979,366522622.5342
300502,新易盛,2026-09-02 10:00:00,388.880,388.980,386.360,386.390,1331312,515805905.9370
300502,新易盛,2026-09-02 10:05:00,386.360,386.630,383.000,383.010,1894254,729398681.4961
300502,新易盛,2026-09-02 10:10:00,383.010,384.410,380.000,380.140,2872212,1095575954.1301
300502,新易盛,2026-09-02 10:15:00,380.140,381.340,378.560,380.780,2391776,908259967.3779
300502,新易盛,2026-09-02 10:20:00,380.780,382.730,380.000,380.880,1042767,397715968.5450
300502,新易盛,2026-09-02 10:25:00,381.000,382.900,380.020,382.870,594500,226655209.7207
300502,新易盛,2026-09-02 10:30:00,382.680,383.200,380.770,381.340,544780,208218907.9043
300502,新易盛,2026-09-02 10:35:00,381.340,381.990,379.350,381.400,714180,271606072.0337
300502,新易盛,2026-09-02 10:40:00,380.920,381.490,380.060,380.500,462220,175979084.5005
300502,新易盛,2026-09-02 10:45:00,380.500,382.750,380.000,381.110,441740,168428298.7520
300502,新易盛,2026-09-02 10:50:00,381.250,381.880,380.520,380.960,302850,115367046.8362
300502,新易盛,2026-09-02 10:55:00,381.000,381.280,379.370,379.970,522295,198466494.9907
300502,新易盛,2026-09-02 11:00:00,379.970,380.160,379.000,379.100,422836,160455645.0322
300502,新易盛,2026-09-02 11:05:00,379.200,379.970,378.800,379.450,557200,211260531.0813
300502,新易盛,2026-09-02 11:10:00,379.600,381.030,379.300,381.020,332292,126368552.3618
