股票代码,股票名称,指标,收盘价,成交额
000017,深中华A,跌幅偏离值达7%的证券,8.33,41545.041
000523,红棉股份,换手率达20%的证券,4.46,254083.9538
000565,渝三峡A,振幅值达15%的证券 | 连续三个交易日内，涨幅偏离值累计达20%的证券,7.91,23803.9702
000759,中百集团,换手率达20%的证券,8.69,207450.8402
000823,超声电子,涨幅偏离值达7%的证券,18.7,276977.8931
000912,泸天化,跌幅偏离值达7%的证券,4.68,92804.4454
000978,桂林旅游,连续三个交易日内，涨幅偏离值累计达20%的证券 | 涨幅偏离值达7%的证券,9.69,178096.9391
000993,闽东电力,连续三个交易日内，涨幅偏离值累计达20%的证券 | 涨幅偏离值达7%的证券,12.62,100605.5054
002084,海鸥住工,连续三个交易日内，跌幅偏离值累计达20%的证券,5.52,254156.8988
002162,悦心健康,振幅值达15%的证券,4.59,64242.1556
002172,澳洋健康,换手率达20%的证券,4.77,100684.676
002174,游族网络,涨幅偏离值达7%的证券,13.64,129861.3681
002365,永安药业,跌幅偏离值达7%的证券,13.98,68799.2383
002377,国创高新,连续三个交易日内，涨幅偏离值累计达20%的证券,3.47,74076.8318
002403,爱仕达,振幅值达15%的证券,11.7,78682.7002
002636,金安国纪,涨幅偏离值达7%的证券,76.45,479104.6362
002702,海欣食品,换手率达20%的证券,6.02,80637.1875
002855,捷荣技术,跌幅偏离值达7%的证券 | 连续三个交易日内，跌幅偏离值累计达20%的证券,14.99,33820.6006
002909,集泰股份,换手率达20%的证券,8.32,88433.4525
003040,楚天龙,跌幅偏离值达7%的证券,18.9,135288.9899
300290,ST荣科,,7.3,48099.4052
301176,逸豪新材,,56.49,109813.0621
301520,万邦医药,,57.22,59267.9789
301689,电科思仪,无价格涨跌幅限制的证券,54.0,252455.7529
600108,亚盛集团,换手率达20%的证券 | 振幅值达15%的证券,5.25,341349.14
600127,金健米业,换手率达20%的证券,14.0,294185.88
600192,长城电工,连续三个交易日内，涨幅偏离值累计达20%的证券,8.68,65783.21
600318,新力金融,涨幅偏离值达7%的证券,8.09,92057.49
600354,敦煌种业,换手率达20%的证券 | 振幅值达15%的证券 | 连续三个交易日内，涨幅偏离值累计达20%的证券,11.45,247132.81
600359,新农开发,连续三个交易日内，涨幅偏离值累计达20%的证券,9.64,72106.74
600479,千金药业,跌幅偏离值达7%的证券,12.71,112563.88
600488,津药药业,涨幅偏离值达7%的证券,5.9,111088.16
600491,ST龙元,涨幅偏离值达7%的证券,1.73,14903.42
600540,新赛股份,换手率达20%的证券 | 振幅值达15%的证券,6.56,129328.24
600722,金牛化工,振幅值达15%的证券,18.31,287517.0
600737,中粮糖业,跌幅偏离值达7%的证券,17.82,368139.62
600744,华银电力,涨幅偏离值达7%的证券,7.0,133674.54
603042,华脉科技,跌幅偏离值达7%的证券,16.8,98869.11
603090,宏盛股份,跌幅偏离值达7%的证券,36.88,33222.95
603162,海通发展,换手率达20%的证券,15.52,221523.44
603191,望变电气,跌幅偏离值达7%的证券,14.41,33880.55
603216,梦天家居,振幅值达15%的证券,24.1,44761.54
603421,鼎信通讯,连续三个交易日内，涨幅偏离值累计达20%的证券,7.29,50360.52
603601,再升科技,涨幅偏离值达7%的证券,9.96,196550.79
603958,哈森股份,连续三个交易日内，跌幅偏离值累计达20%的证券,16.1,98266.22
605177,东亚药业,连续三个交易日内，涨幅偏离值累计达20%的证券,24.71,85485.04
605398,新炬网络,连续三个交易日内，跌幅偏离值累计达20%的证券,22.11,99571.35
688496,*ST清越,,0.58,661.79
920071,金钛股份,换手率达20%的证券,25.63,34663.24
920128,胜业电气,换手率达20%的证券,22.4,16235.96
920268,百迈科,换手率达20%的证券,34.94,26170.07
920269,杰锋动力,换手率达20%的证券,35.49,8792.23
920895,花溪科技,换手率达20%的证券,29.76,33604.08
