sector_type,sector,breadth_confidence,signal_confidence,state_confidence,top100_members,signal_members,signal_coverage_pct,up_count,down_count,up_ratio,down_ratio,avg_return_pct,median_return_pct,total_amount,amount_share_pct,positive_rs_count,positive_rs_ratio,negative_rs_count,negative_rs_ratio,avg_day_rs_pct,avg_late_rs_pct,leader_count,confirm_count,weak_anchor_count,trend_up_count,trend_up_ratio,trend_down_count,trend_down_ratio,avg_windvane_score,top_members,state
INDUSTRY,计算机、通信和其他电子设备制造业,HIGH,HIGH,HIGH,44,19,43.18181818181818,18,26,0.4090909090909091,0.5909090909090909,-0.019681818181818155,-0.489,214062254239.0,47.3539520322115,4,0.21052631578947367,15,0.7894736842105263,-1.215769526813194,-0.3494424621313301,3,0,16,1,0.05263157894736842,10,0.5263157894736842,-3.3157894736842106,三安光电|腾景科技|长鑫科技|天孚通信|中石科技,DIVERGING
INDUSTRY,电气机械和器材制造业,HIGH,MEDIUM,MEDIUM,9,4,44.44444444444444,6,3,0.6666666666666666,0.3333333333333333,1.9178888888888888,0.787,51584720594.0,11.411355043827555,3,0.75,1,0.25,1.8225372342182522,-0.14713184003734836,2,0,2,2,0.5,1,0.25,2.75,远东股份|杭电股份|宁德时代|亨通光电,DIVERGING
INDUSTRY,非金属矿物制品业,MEDIUM,LOW,LOW,4,2,50.0,2,2,0.5,0.5,2.4787500000000002,2.691,21034808272.0,4.653231862198981,1,0.5,1,0.5,1.1012275653281225,-0.5262114769451985,1,0,1,1,0.5,0,0.0,2.5,黄河旋风|中国巨石,DIVERGING
INDUSTRY,金属制品业,LOW,LOW,LOW,2,2,100.0,1,1,0.5,0.5,2.365,2.365,6458015381.0,1.4286150151148045,1,0.5,1,0.5,1.4240416070993303,0.4811373808838393,1,0,1,0,0.0,0,0.0,3.0,博云新材|长城军工,DIVERGING
INDUSTRY,有色金属矿采选业,MEDIUM,INSUFFICIENT,INSUFFICIENT,5,0,0.0,4,1,0.8,0.2,1.9533999999999998,1.813,17944161075.0,3.969531881389555,0,,0,,,,0,0,0,0,,0,,,紫金矿业|山东黄金|湖南黄金|晓程科技|赤峰黄金,BREADTH_STRONG
INDUSTRY,有色金属冶炼和压延加工业,MEDIUM,INSUFFICIENT,INSUFFICIENT,4,1,25.0,3,1,0.75,0.25,5.0600000000000005,5.4315,14123504096.0,3.1243422053381207,1,1.0,0,0.0,10.165924097512892,0.2081103022573693,1,0,0,1,1.0,0,0.0,12.0,白银有色,BREADTH_STRONG
INDUSTRY,化学原料和化学制品制造业,MEDIUM,INSUFFICIENT,INSUFFICIENT,4,0,0.0,3,1,0.75,0.25,0.93225,2.1955,14994766324.0,3.3170791729032922,0,,0,,,,0,0,0,0,,0,,,昊华科技|多氟多|国瓷材料|万华化学,BREADTH_STRONG
INDUSTRY,资本市场服务,LOW,INSUFFICIENT,INSUFFICIENT,2,0,0.0,2,0,1.0,0.0,0.9744999999999999,0.9744999999999999,6611073887.0,1.462473974402198,0,,0,,,,0,0,0,0,,0,,,东方财富|中信证券,BREADTH_STRONG
INDUSTRY,铁路、船舶、航空航天和其他运输设备制造业,LOW,INSUFFICIENT,INSUFFICIENT,2,0,0.0,2,0,1.0,0.0,1.134,1.134,6198553410.0,1.3712179285868864,0,,0,,,,0,0,0,0,,0,,,中国船舶|内蒙一机,BREADTH_STRONG
INDUSTRY,专用设备制造业,HIGH,INSUFFICIENT,INSUFFICIENT,8,1,12.5,3,5,0.375,0.625,0.058124999999999954,-0.628,32149222404.0,7.111915834970922,0,0.0,1,1.0,-4.16429067495131,-0.6086479210184903,0,0,1,0,0.0,1,1.0,-8.0,中科飞测,NEUTRAL
