sector_type,sector,breadth_confidence,signal_confidence,state_confidence,top100_members,signal_members,signal_coverage_pct,up_count,down_count,up_ratio,down_ratio,avg_return_pct,median_return_pct,total_amount,amount_share_pct,positive_rs_count,positive_rs_ratio,negative_rs_count,negative_rs_ratio,avg_day_rs_pct,avg_late_rs_pct,leader_count,confirm_count,weak_anchor_count,trend_up_count,trend_up_ratio,trend_down_count,trend_down_ratio,avg_windvane_score,top_members,state
INDUSTRY,计算机、通信和其他电子设备制造业,HIGH,HIGH,HIGH,53,21,39.62264150943396,22,31,0.41509433962264153,0.5849056603773585,-0.2849433962264151,-0.948,335535089593.0,59.20630420062917,7,0.3333333333333333,14,0.6666666666666666,-0.8206918586874634,0.15207870152874878,2,2,14,0,0.0,11,0.5238095238095238,-2.761904761904762,兴森科技|摩尔线程|XD剑桥科|长鑫科技|德明利,DIVERGING
INDUSTRY,电气机械和器材制造业,HIGH,MEDIUM,MEDIUM,9,4,44.44444444444444,4,5,0.4444444444444444,0.5555555555555556,1.0800000000000003,-0.642,60881409763.0,10.74273117295608,2,0.5,2,0.5,3.2157684806004894,0.20148652743100792,2,0,2,0,0.0,1,0.25,1.5,远东股份|杭电股份|宁德时代|亨通光电,DIVERGING
INDUSTRY,有色金属冶炼和压延加工业,MEDIUM,INSUFFICIENT,INSUFFICIENT,4,1,25.0,3,1,0.75,0.25,3.34825,2.9415,17235317275.0,3.0412301700420947,1,1.0,0,0.0,5.943439887771495,0.134300346089411,1,0,0,0,0.0,0,0.0,8.0,北方铜业,BREADTH_STRONG
INDUSTRY,有色金属矿采选业,MEDIUM,INSUFFICIENT,INSUFFICIENT,3,1,33.33333333333333,3,0,1.0,0.0,3.8160000000000003,3.103,16484337864.0,2.908717306752571,1,1.0,0,0.0,1.1288575228931783,-0.146535887557575,0,1,0,0,0.0,0,0.0,3.0,紫金矿业,BREADTH_STRONG
INDUSTRY,专用设备制造业,HIGH,INSUFFICIENT,INSUFFICIENT,6,0,0.0,2,4,0.3333333333333333,0.6666666666666666,-0.6173333333333333,-1.529,27163092987.0,4.793019854850525,0,,0,,,,0,0,0,0,,0,,,大族激光|中微公司|罗博特科|北方华创|长川科技,NEUTRAL
INDUSTRY,非金属矿物制品业,MEDIUM,INSUFFICIENT,INSUFFICIENT,3,0,0.0,1,2,0.3333333333333333,0.6666666666666666,0.6313333333333334,-0.743,14404925672.0,2.541797975163779,0,,0,,,,0,0,0,0,,0,,,中国巨石|黄河旋风|国际复材,NEUTRAL
INDUSTRY,化学原料和化学制品制造业,LOW,INSUFFICIENT,INSUFFICIENT,2,1,50.0,1,1,0.5,0.5,3.4745,3.4745,6487485090.0,1.1447387401463578,1,1.0,0,0.0,9.220221794392524,3.002383336114156,1,0,0,1,1.0,0,0.0,12.0,金牛化工,NEUTRAL
INDUSTRY,金属制品业,LOW,INSUFFICIENT,INSUFFICIENT,2,1,50.0,1,1,0.5,0.5,2.478,2.478,6611471678.0,1.1666165939792619,1,1.0,0,0.0,7.885605703176745,2.1533924353802414,1,0,0,1,1.0,0,0.0,13.0,博云新材,NEUTRAL
INDUSTRY,软件和信息技术服务业,LOW,INSUFFICIENT,INSUFFICIENT,2,1,50.0,1,1,0.5,0.5,-0.15599999999999992,-0.15599999999999992,13729174712.0,2.42255942711756,0,0.0,1,1.0,-1.674797910679815,0.2554524774153188,0,0,1,0,0.0,1,1.0,-7.0,寒武纪,NEUTRAL
INDUSTRY,互联网和相关服务,MEDIUM,LOW,LOW,4,2,50.0,0,4,0.0,1.0,-3.51275,-3.13,13395232187.0,2.3636341363390043,0,0.0,2,1.0,-2.918747798880722,-0.6895997311253454,0,0,2,0,0.0,1,0.5,-6.0,芒果超媒|易点天下,FADING
