代码,名称,最新价,涨跌幅,成交额,股票代码
sz300308,中际旭创,921.04,0.004,27745041530.0,300308
sh688825,长鑫科技,52.88,-1.196,25386081354.0,688825
sh603986,兆易创新,404.5,-2.098,22901029235.0,603986
sz300502,新易盛,429.9,0.397,19447498380.0,300502
sz002384,东山精密,202.11,0.959,17277657206.0,002384
sz300394,天孚通信,257.16,7.128,16858879504.0,300394
sz000938,紫光股份,39.6,7.027,16460897925.0,000938
sh688256,寒武纪,1105.5,0.011,14834774792.0,688256
sz300476,胜宏科技,271.3,-2.896,14553510911.0,300476
sz000636,风华高科,62.02,-6.751,13338015459.0,000636
sh600487,亨通光电,57.25,-3.457,12846078955.0,600487
sh600183,生益科技,141.74,-1.04,12100094060.0,600183
sh603259,药明康德,162.33,2.069,12028294271.0,603259
sh600667,太极实业,23.78,4.712,12016583505.0,600667
sh600584,长电科技,77.82,-0.46,11980625234.0,600584
sz000977,浪潮信息,79.46,5.918,11947134569.0,000977
sz300058,蓝色光标,15.25,-4.028,11745414275.0,300058
sh601899,紫金矿业,32.21,-4.08,10856874191.0,601899
sz300285,国瓷材料,70.66,-4.514,10802057290.0,300285
sz002428,云南锗业,100.21,-5.444,10485962471.0,002428
sh688008,澜起科技,210.22,-2.418,10469579960.0,688008
sh600176,中国巨石,41.9,-3.256,10419079143.0,600176
sz300408,三环集团,128.4,0.336,10066938477.0,300408
sz002281,光迅科技,184.85,-0.097,9796882791.0,002281
sh601138,工业富联,65.23,-0.564,9785252845.0,601138
sz300750,宁德时代,396.3,0.602,9665143597.0,300750
sh600105,永鼎股份,40.76,-1.092,9536178004.0,600105
sz002407,多氟多,38.97,4.198,9390875507.0,002407
sh688012,中微公司,370.42,-2.764,9242028782.0,688012
sz301308,江波龙,397.0,-4.176,9197256452.0,301308
sz002131,利欧股份,5.56,0.725,9179464028.0,002131
sz000725,京东方Ａ,5.86,-1.18,8924981140.0,000725
sh688981,中芯国际,129.44,1.157,8790071770.0,688981
sh600522,中天科技,32.9,-1.937,8669049372.0,600522
sh688347,华虹宏力,276.99,1.387,8501393590.0,688347
sz300274,阳光电源,118.13,0.511,8340987911.0,300274
sz300857,协创数据,256.0,2.482,8330288865.0,300857
sz000657,中钨高新,66.7,-5.296,8292532009.0,000657
sh688498,源杰科技,1500.68,5.016,8276345318.0,688498
sh688525,佰维存储,235.01,-4.031,8224965825.0,688525
sz001309,德明利,396.53,-2.711,7952924437.0,001309
sz301526,国际复材,36.44,-5.961,7885977512.0,301526
sz000988,华工科技,107.04,0.677,7779217187.0,000988
sh603228,景旺电子,97.2,-1.028,7607276131.0,603228
sz301396,宏景科技,204.32,4.86,7606809213.0,301396
sh603019,中科曙光,89.63,3.714,7492434067.0,603019
sh603629,利通电子,125.0,4.725,7314926689.0,603629
sz000063,中兴通讯,35.08,-1.433,7239214676.0,000063
sz002463,沪电股份,120.66,-1.91,6926319372.0,002463
sh688766,普冉股份,383.4,-2.838,6564441333.0,688766
sz002491,通鼎互联,18.94,0.531,6541519674.0,002491
sz300604,长川科技,281.69,-1.888,6537531036.0,300604
sh603083,剑桥科技,169.0,5.823,6485634212.0,603083
sh600396,华电辽能,18.73,9.022,6432438907.0,600396
sz300209,行云科技,35.35,-3.151,6403545920.0,300209
sz300475,香农芯创,157.43,-3.889,6351420746.0,300475
sz002371,北方华创,738.6,-2.816,6226337478.0,002371
sz002475,立讯精密,56.06,-2.249,6180124826.0,002475
sz301217,铜冠铜箔,119.23,-1.062,6088600203.0,301217
sh688146,中船特气,295.49,-3.859,6007298031.0,688146
sz002851,麦格米特,131.86,4.934,5974825782.0,002851
sh601991,大唐发电,6.92,10.016,5966665946.0,601991
sz002156,通富微电,62.22,-1.018,5886057374.0,002156
sz002185,华天科技,17.88,-2.295,5761822688.0,002185
sh600206,有研新材,50.21,-5.175,5683707555.0,600206
sz300059,东方财富,19.78,-0.252,5560656509.0,300059
sz300223,君正股份,137.48,-2.198,5550640386.0,300223
sh603993,洛阳钼业,18.41,-3.105,5530933038.0,603993
sh688041,海光信息,286.0,-0.577,5445365942.0,688041
sz301165,锐捷网络,143.3,13.523,5401589749.0,301165
sh600276,恒瑞医药,53.76,-1.104,5313853180.0,600276
sz000021,深科技,39.55,-1.983,5305427732.0,000021
sz300759,康龙化成,49.8,3.967,5158058651.0,300759
sh688167,炬光科技,255.86,4.211,5017195342.0,688167
sz002409,雅克科技,149.5,-3.666,5016031664.0,002409
sz002008,大族激光,94.75,0.477,4851545581.0,002008
sz301171,易点天下,37.4,-1.241,4799597386.0,301171
sh688702,盛科通信,401.0,4.183,4724229155.0,688702
sz002636,金安国纪,65.58,-4.221,4681565989.0,002636
sh688072,拓荆科技,685.11,-2.549,4675941029.0,688072
sz300666,江丰电子,251.02,-4.935,4654199182.0,300666
sz300620,光库科技,314.15,1.667,4642638346.0,300620
sz002436,兴森科技,34.59,-1.872,4562805666.0,002436
sh600664,哈药股份,8.86,0.568,4487849333.0,600664
sz000100,TCL科技,5.17,1.572,4452208194.0,000100
sh600519,贵州茅台,1355.29,0.915,4376205567.0,600519
sh600641,先导基电,34.02,-4.759,4357614757.0,600641
sh600186,莲花控股,10.93,-4.541,4314831954.0,600186
sh603296,华勤技术,85.97,8.795,4294605447.0,603296
sz002354,天娱数科,8.35,-2.11,4160136805.0,002354
sh601869,长飞光纤,337.51,-2.395,4158867617.0,601869
sh688361,中科飞测,336.21,-3.402,3941106428.0,688361
sz002938,鹏鼎控股,95.72,-5.228,3912049798.0,002938
sh688313,仕佳光子,138.61,-0.915,3899926914.0,688313
sz300136,信维通信,67.29,-1.881,3885862970.0,300136
sz002792,通宇通讯,38.63,4.096,3884067063.0,002792
sz300757,罗博特科,507.54,-1.607,3881486010.0,300757
sz301511,德福科技,89.9,0.045,3858096373.0,301511
sz300442,润泽科技,68.55,1.256,3836092267.0,300442
sh688017,绿的谐波,346.0,-2.532,3833384302.0,688017
